timestamp,rating_numerator,rating_denominator,name,stage,breed,favorite_count,retweet_count
2016-12-26 02:00:11,11,10,,doggo,cocker_spaniel,9704.0,1945.0
2016-12-26 01:00:05,13,10,,,golden_retriever,20949.0,4705.0
2016-12-25 22:00:04,13,10,,,beagle,,
2016-12-25 21:00:18,11,10,,doggo,Norwegian_elkhound,12511.0,3378.0
2016-12-25 19:00:02,11,10,Rocky,doggo,Great_Dane,11124.0,3877.0
2016-12-25 18:00:17,11,10,Baron,,Doberman,,
2016-12-25 17:00:08,12,10,Tyr,,toy_terrier,,
2016-12-25 16:00:16,13,10,Bauer,,golden_retriever,22125.0,7919.0
2016-12-24 22:04:54,10,10,Swagger,,bull_mastiff,,
2016-12-24 17:18:34,12,10,,,Irish_setter,6987.0,1540.0
2016-12-23 19:00:19,13,10,Moe,,golden_retriever,,
2016-12-22 17:23:53,11,10,Ted,,Staffordshire_bullterrier,,
2016-12-22 01:24:33,13,10,Halo,,Pekinese,,
2016-12-21 17:39:46,10,10,Augie,,beagle,13500.0,3368.0
2016-12-21 01:44:13,11,10,Craig,pupper,Pembroke,22096.0,6894.0
2016-12-19 17:14:23,11,10,Hunter,,flat-coated_retriever,9561.0,1931.0
2016-12-19 01:26:42,11,10,Pavlov,,malamute,,
2016-12-18 00:43:57,13,10,Phil,,malamute,37368.0,12317.0
2016-12-17 22:43:27,12,10,Gus,,Staffordshire_bullterrier,,
2016-12-17 00:38:52,10,10,,,Norwich_terrier,16365.0,4227.0
2016-12-15 17:23:04,12,10,,,Greater_Swiss_Mountain_dog,7325.0,1584.0
2016-12-15 02:14:29,12,10,Kyro,,Pomeranian,,
2016-12-14 17:16:53,11,10,Wallace,,vizsla,13980.0,3803.0
2016-12-14 00:57:20,13,10,Ito,,Rottweiler,10695.0,3290.0
2016-12-13 02:39:32,12,10,Koda,,Airedale,,
2016-12-12 00:29:28,12,10,,pupper,golden_retriever,,
2016-12-11 17:31:39,12,10,Cooper,,Labrador_retriever,13299.0,3833.0
2016-12-10 16:22:02,14,10,,pupper,golden_retriever,15395.0,3967.0
2016-12-09 06:17:20,13,10,Stephan,,Chihuahua,125435.0,60187.0
2016-12-08 23:53:08,12,10,Lennon,,golden_retriever,13799.0,4150.0
2016-12-07 16:53:43,11,10,Waffles,,vizsla,10804.0,2554.0
2016-12-06 19:29:28,11,10,,,chow,6805.0,1287.0
2016-12-06 00:32:26,12,10,Major,,Norwegian_elkhound,8748.0,2070.0
2016-12-05 17:31:15,12,10,Duke,,Siberian_husky,6964.0,1982.0
2016-12-04 21:14:20,13,10,,,malinois,6077.0,1779.0
2016-12-04 00:30:29,12,10,Shooter,,Pembroke,,
2016-12-02 17:27:25,12,10,Django,,Tibetan_mastiff,14520.0,4158.0
2016-11-30 01:31:12,12,10,Diogi,puppo,miniature_pinscher,10632.0,2994.0
2016-11-29 16:33:36,13,10,,pupper,Labrador_retriever,11613.0,4458.0
2016-11-28 16:37:19,11,10,Winston,,Pembroke,10603.0,2661.0
2016-11-27 19:09:28,12,10,Marley,,chow,9556.0,2171.0
2016-11-26 18:00:13,12,10,Winnie,,golden_retriever,9467.0,2701.0
2016-11-25 21:37:47,11,10,,pupper,Labrador_retriever,,
2016-11-25 19:55:35,12,10,Loki,puppo,Eskimo_dog,9601.0,2830.0
2016-11-25 01:18:59,12,10,Ronnie,,Staffordshire_bullterrier,8172.0,1849.0
2016-11-23 21:29:33,12,10,Wallace,,Pembroke,8684.0,2219.0
2016-11-22 20:58:07,13,10,Milo,,cocker_spaniel,25953.0,6422.0
2016-11-22 17:28:25,12,10,Bones,pupper,dalmatian,8548.0,2262.0
2016-11-21 17:23:47,12,10,,,cocker_spaniel,11129.0,2999.0
2016-11-21 01:37:04,11,10,Chef,,Pembroke,13904.0,3259.0
